Gender,Age,Energy (kcal) Min,Energy (kcal) Max,Carbohydrate (g),Protein (g),Fiber (g),Added Sugar (low max),Added Sugar (high max),Sugar (g),Fat (low max),Fat (high max),Fat (g),Saturated Fat (low max),Saturated Fat (high max),Sodium (mg/d),Vit A (mg/d),Vit C (mg/d),Vit D (mg/d),Vit E (mg/d),Calcium (mg/d),Iron (mg/d),Magnesium (mg/d),Folate (mg/d)
Male,55,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,10,12,1000,8,420,320
Male,56,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,10,12,1000,8,420,320
Male,57,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,10,12,1000,8,420,320
Male,58,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,10,12,1000,8,420,320
Male,59,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,10,12,1000,8,420,320
Male,60,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,10,12,1000,8,420,320
Male,61,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,10,12,1000,8,420,320
Male,62,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,10,12,1000,8,420,320
Male,63,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,10,12,1000,8,420,320
Male,64,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,10,12,1000,8,420,320
Male,65,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,10,12,1000,8,420,320
Male,66,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,10,12,1000,8,420,320
Male,67,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,10,12,1000,8,420,320
Male,68,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,10,12,1000,8,420,320
Male,69,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,10,12,1000,8,420,320
Male,70,2000,2200,130,56,30,50,55,55,44,86,86,22,24,1200,625,75,10,12,1200,8,420,320
Male,71,2000,2200,130,56,30,50,55,55,44,86,86,22,24,1200,625,75,10,12,1200,8,420,320
Male,72,2000,2200,130,56,30,50,55,55,44,86,86,22,24,1200,625,75,10,12,1200,8,420,320
Male,73,2000,2200,130,56,30,50,55,55,44,86,86,22,24,1200,625,75,10,12,1200,8,420,320
Male,74,2000,2200,130,56,30,50,55,55,44,86,86,22,24,1200,625,75,10,12,1200,8,420,320
Male,75,2000,2200,130,56,30,50,55,55,44,86,86,22,24,1200,625,75,10,12,1200,8,420,320
Male,76,2000,2200,130,56,30,50,55,55,44,86,86,22,24,1200,625,75,10,12,1200,8,420,320
Female,1,1000,1400,130,13,19,25,35,35,22,54,54,11,16,1000,210,13,10,5,700,7,80,120
Female,2,1000,1400,130,13,19,25,35,35,22,54,54,11,16,1000,210,13,10,5,700,7,80,120
Female,3,1000,1400,130,13,19,25,35,35,22,54,54,11,16,1000,210,13,10,5,700,7,80,120
Female,4,1400,1600,130,19,25,35,40,40,31,62,62,16,18,1200,275,22,10,6,1000,10,130,160
Female,5,1400,1600,130,19,25,35,40,40,31,62,62,16,18,1200,275,22,10,6,1000,10,130,160
Female,6,1400,1600,130,19,25,35,40,40,31,62,62,16,18,1200,275,22,10,6,1000,10,130,160
Female,7,1400,1600,130,19,25,35,40,40,31,62,62,16,18,1200,275,22,10,6,1000,10,130,160
Female,8,1400,1600,130,19,25,35,40,40,31,62,62,16,18,1200,275,22,10,6,1000,10,130,160
Female,9,1400,2000,130,34,26,35,50,50,31,78,78,16,22,1500,420,39,10,9,1300,8,240,250
Female,10,1400,2000,130,34,26,35,50,50,31,78,78,16,22,1500,420,39,10,9,1300,8,240,250
Female,11,1400,2000,130,34,26,35,50,50,31,78,78,16,22,1500,420,39,10,9,1300,8,240,250
Female,12,1400,2000,130,34,26,35,50,50,31,78,78,16,22,1500,420,39,10,9,1300,8,240,250
Female,13,1400,2000,130,34,26,35,50,50,31,78,78,16,22,1500,420,39,10,9,1300,8,240,250
Female,14,1800,2000,130,46,26,45,50,50,40,78,78,20,22,1500,485,56,10,12,1300,15,360,330
Female,15,1800,2000,130,46,26,45,50,50,40,78,78,20,22,1500,485,56,10,12,1300,15,360,330
Female,16,1800,2000,130,46,26,45,50,50,40,78,78,20,22,1500,485,56,10,12,1300,15,360,330
Female,17,1800,2000,130,46,26,45,50,50,40,78,78,20,22,1500,485,56,10,12,1300,15,360,330
Female,18,1800,2000,130,46,26,45,50,50,40,78,78,20,22,1500,485,56,10,12,1300,15,360,330
Female,19,2000,2200,130,46,25,50,55,55,44,86,86,22,24,1500,500,60,10,12,1000,18,310,320
Female,20,2000,2200,130,46,25,50,55,55,44,86,86,22,24,1500,500,60,10,12,1000,18,310,320
Female,21,2000,2200,130,46,25,50,55,55,44,86,86,22,24,1500,500,60,10,12,1000,18,310,320
Female,22,2000,2200,130,46,25,50,55,55,44,86,86,22,24,1500,500,60,10,12,1000,18,310,320
Female,23,2000,2200,130,46,25,50,55,55,44,86,86,22,24,1500,500,60,10,12,1000,18,310,320
Female,24,2000,2200,130,46,25,50,55,55,44,86,86,22,24,1500,500,60,10,12,1000,18,310,320
Female,25,2000,2200,130,46,25,50,55,55,44,86,86,22,24,1500,500,60,10,12,1000,18,310,320
Female,26,2000,2200,130,46,25,50,55,55,44,86,86,22,24,1500,500,60,10,12,1000,18,310,320
