Year,Income,Age,Sample Size,Calories (kcal),Protein (g),Carbohydrate (g),Sugar (g),Fiber (g),Fat (g),Saturated Fat (g),Monounsaturated Fat (g),Polyunsaturated Fat (g),Cholesterol (mg),Vitamin E (mg),Vitamin A (mg),Vitamin C (mg),Calcium (mg),Magnesium (mg),Iron (mg),Sodium (mg),Potassium (mg),Folate (mcg),Caffeine (mg),Alcohol (g)
2009,"$0 - $24,999",20 and over,1884,2097,79,261,123,15.5,76.1,25.2,27.5,16.4,274,6.9,581,84.8,948,288,14.3,3452,2596,502,158.5,10.6
2009,"$0 - $24,999",2 and over,2988,2052,76.6,260,124,14.9,74.7,25,26.8,16.1,260,6.7,577,84.2,971,273,14.1,3355,2501,503,124.2,--
2009,"$25,000 - $74,999",2-5,308,1579,56.3,219,115,12.1,55.7,21,19,10.7,169,4.6,606,81.5,1086,216,11.6,2316,2130,422,6.7,--
2009,"$25,000 - $74,999",6-11,449,1830,63.2,251,122,13.7,66.3,23.4,23.4,13.3,197,5.9,566,72.7,1021,220,13.6,2849,2074,513,18.8,--
2009,"$25,000 - $74,999",12-19,499,2098,75.6,280,140,14.2,76.6,25.8,27.1,16.9,244,7.1,519,83.3,1028,250,14.6,3376,2256,547,63.8,--
2009,"$25,000 - $74,999",20 and over,2215,2130,83.2,259,117,16.8,79.2,25.7,28.8,17.6,282,8,634,86.7,988,303,15.3,3583,2764,542,182.1,10.7
2009,"$25,000 - $74,999",2 and over,3471,2072,79.3,258,119,16,76.6,25.3,27.6,16.8,265,7.5,615,85,1001,286,14.9,3432,2621,534,147,--
2009,"$75,000 and higher",2-5,150,1445,52.7,198,101,12,51.9,18.9,18.1,10.3,155,5.1,601,78,1009,208,10.9,2198,1995,404,3.8,--
2009,"$75,000 and higher",6-11,253,1844,65,258,125,14.2,64,22.1,22.4,13.8,168,5.9,622,69.1,1077,243,13.7,2922,2197,523,15.2,--
2009,"$75,000 and higher",12-19,280,2247,84.5,297,140,15.1,81.8,28.4,28.7,17.1,244,7.2,655,76.7,1171,275,16.2,3861,2502,600,57.5,--
2009,"$75,000 and higher",20 and over,1198,2164,86,255,111,18.3,82,26.9,29.2,18.5,270,8.8,683,91.4,1109,325,16,3729,2919,583,199.3,13.3
2009,"$75,000 and higher",2 and over,1881,2112,82.4,258,115,17.2,79,26.3,28,17.5,252,8.2,671,87.1,1109,307,15.6,3601,2764,571,157.5,--
2009,All,2-5,861,1537,55.6,211,110,11.7,54.6,20.1,18.9,10.7,174,4.8,592,83.1,1032,210,11.5,2308,2071,426,5.9,--
